song_id,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15
1371,0.14282645,0.6474709,0.13952503,-0.71254927,0.54886,0.1684976,0.55385274,-0.0910173,0.07064691,-0.4087736,0.039459515,-0.24053738,0.23525879,-0.32215193,-0.19694221,-0.059786808
1417,0.32907742,-0.41579208,0.48140797,0.022488683,-0.21475762,0.046093322,0.40443522,-0.07014684,-0.40520832,-0.14343348,-0.27412286,0.19767989,-0.23483737,-0.2344939,-0.053649478,0.45070753
197,-0.41519406,-0.6636761,-0.45178223,0.4397083,0.16457541,-0.07182218,0.52161634,-0.20903769,-0.0070936233,0.6323874,-0.056215,0.3604183,0.78101194,-0.6924551,0.65225697,0.39748907
1403,-0.0876173,-0.008628944,0.24421263,-0.24406451,-0.1835901,0.07062689,0.35143596,-0.056730382,-0.17216642,-0.20302114,-0.16188647,-0.38715503,0.20762914,0.12300011,-0.06273693,0.3244128
829,0.20419416,-0.23946491,0.20766987,0.36413264,-0.1831238,0.05304023,0.033328015,0.006964869,-0.4026919,-0.49933493,0.11832619,0.562942,0.42677882,-0.3065803,0.3425839,0.25116828
1365,-0.394196,0.5024746,0.085378975,-0.20360588,0.1223939,-0.1628342,0.20008044,0.3216858,-0.482436,0.24596998,-0.45186234,-0.035973847,-0.523128,-0.14854336,0.27771103,-0.16664685
69,0.20422399,-0.68602705,-0.48016933,-0.09034233,-0.45361698,0.12787017,0.4121557,0.032892175,0.5999895,-0.8247721,-0.19639249,-0.13654278,-0.37880483,-0.3350857,-0.04324119,0.43130475
82,0.14261226,-0.47432077,0.47041026,-0.09485616,-0.5216605,-0.50236076,0.14407466,-0.20093077,0.04067396,0.058438048,-0.4493311,0.61678874,0.12552632,0.3234525,-0.11949278,-0.1789807
168,-0.41901103,-0.019248376,-0.04375937,0.54356176,-0.27085793,-0.03972862,0.2369615,-0.2413555,0.031987794,-0.4031758,0.30422512,0.23494643,0.28886974,0.36637723,0.1879898,0.14891143
96,-0.03940149,-0.13014328,0.15986937,-0.028238222,-0.22798893,0.064752154,0.11024464,-0.038459048,-0.09127076,-0.07974809,-0.22381541,0.36135608,-0.06634085,0.11580373,-0.004485167,-0.21914051
140,-0.04605431,-0.28316328,-0.414293,0.4484598,-0.44310948,-0.05569757,-0.38013747,-0.3369847,-0.41773558,0.46437758,-0.29617047,-0.045011457,0.33184823,0.38799086,0.6061079,0.055500746
154,-0.10977157,-0.03444493,-0.30721048,-0.054110933,-0.4410008,0.13162972,-0.39058837,-0.015751163,-0.22644547,0.29073906,-0.03605541,0.050409887,0.105264604,0.37164307,0.012037955,0.4170755
632,0.43125078,-0.051227,-0.28547698,-0.03856805,-0.19728391,-0.054041203,-0.5252853,-0.044126663,-0.07717168,-0.022271737,-0.37674737,0.7815707,0.2824878,0.42815048,0.15174015,0.038070455
1239,-0.064869426,0.20582105,0.5388952,-0.06977617,0.08800799,0.17647776,0.19862087,-0.21199487,-0.17274806,-0.43112203,-0.003777784,-0.59920627,-0.024794107,0.20442577,-0.02537131,-0.071398504
2056,-0.065254115,-0.07957671,-0.028423669,0.13508283,-0.066566154,0.061261065,-0.087394424,-0.18642607,-0.29606974,0.05840944,-0.061313454,0.24174105,0.06525848,-0.006819165,-0.051203374,0.034398854
2042,-0.46198663,0.1887066,-0.07055393,0.36944076,-0.10532904,-0.26457936,-0.15588857,0.05211358,0.025767775,-0.18334882,-0.09503352,0.42471433,0.25111383,-0.0076914625,-0.12716159,0.094961464
961,0.065257974,-0.07421629,-0.37617788,0.27905297,0.19166136,-0.21355657,-0.51140654,-0.2135562,-0.07653677,-0.21940336,-0.30668184,0.19242848,0.024576029,0.26902148,-0.05040198,-0.02088719
1205,0.11456679,0.05015024,0.15485251,-0.12985972,0.14047024,-0.07186847,0.26113623,-0.23029958,-0.20476653,-0.25221986,-0.1905156,-0.50916773,-0.1275785,0.021388011,-0.09983453,0.19294098
791,-0.027226493,-0.49826226,-0.52668023,0.427138,0.18253396,0.011773966,0.5425922,-0.14997604,-0.3879029,0.04640057,-0.19413824,0.13261655,0.38129216,-0.09278193,0.36677247,0.43462154
949,0.28455982,0.35404444,-0.057724606,0.14557195,-0.0230011,-0.27180558,-0.5338949,-0.33900875,-0.3213681,-0.3352954,-0.31543866,0.41263977,0.24150346,-0.20428385,0.3044963,0.07991968
1563,0.20027208,0.53834593,0.33070433,0.3816782,-0.0998526,-0.026606329,-0.31092197,-0.20364445,-0.71659684,-0.37872133,-0.078889035,-0.5253496,0.29381242,-0.68351054,-0.454868,0.0135908015
1577,0.10249059,0.17436117,0.11334799,0.3594874,0.11170982,-0.025033941,-0.05296936,-0.19669281,-0.409684,-0.41697046,-0.10662593,0.40111545,-0.11662297,-0.35230538,-0.21620902,0.27446404
1211,0.13232839,0.071988724,0.24691613,0.013485717,-0.03986102,0.053225566,0.19488037,-0.12668285,-0.27487838,-0.3395535,-0.014669364,-0.42387834,-0.019304574,0.095754124,-0.1191848,0.23744904
1588,-0.25165376,-0.036563337,-0.007757851,0.22356004,0.08003332,-0.26128435,-0.004257277,-0.018695313,-0.2868326,-0.33413634,-0.1922042,0.20477892,-0.004143028,0.27816337,-0.0226451,-0.40807882
746,0.06300644,0.03805376,0.2569874,-0.16212633,0.112384796,0.05595102,-0.38254637,-0.5700807,0.009805187,-0.10351266,-0.26157746,0.06342292,-0.27839148,0.38681784,-0.09762281,0.119948074
1985,0.34849858,0.18061525,0.34299898,-0.152509,-0.10194805,-0.1436683,0.3581957,-0.15018599,-0.491786,-0.27525648,-0.40863407,-0.23889545,-0.027662914,-0.15582667,-0.062082488,-0.004406015
1749,0.16298725,0.06906302,0.38181826,-0.17990382,-0.22651777,0.027041413,-0.11762043,-0.02838827,-0.5142259,-0.18434541,-0.059131183,-0.30171964,-0.07245938,-0.29228663,-0.0051062633,0.1762039
1991,0.31976873,0.34695432,0.33352903,-0.0010550019,-0.21843183,-0.1245501,-0.032346487,-0.26485312,-0.30733728,-0.4324107,0.03976756,-0.2581484,0.12555918,-0.20000976,-0.16520372,0.08085477
1761,-0.12963188,0.14867385,0.3160917,-0.33598858,0.32032302,-0.06841083,-0.14362164,-0.16504094,-0.41947454,-0.5057148,0.013914842,-0.27420723,0.071230486,0.0046865074,-0.18998522,-0.0063361977
1007,-0.46498412,-0.35554773,0.21730612,-0.41336495,0.00981047,-0.15418044,-0.0036476895,-0.18447635,-0.025711896,-0.34126762,-0.5672556,0.08098149,-0.617981,-0.06395402,0.22758183,-0.3549944
